child_term_id,parent_term_id,pattern_count,from_head_heuristic,llm_label,llm_confidence,confidence,created_at,updated_at
729,1257,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
168,695,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1346,1225,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
232,42,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1099,54,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1609,781,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
2183,1,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
66,275,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
474,905,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
839,82,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1486,1223,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
415,181,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1742,35,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1060,68,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
916,54,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1649,54,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
2047,1128,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1043,15,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
821,329,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1232,705,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1114,75,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1869,322,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1115,1041,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
2118,2109,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
798,202,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
2150,619,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1194,678,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
320,312,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1767,82,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1671,1426,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1088,678,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
761,54,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
542,114,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1119,275,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1421,82,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
967,388,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
280,114,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1873,81,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1729,55,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
552,307,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1976,75,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
597,68,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1366,906,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1750,752,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1484,1041,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
2198,762,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1986,781,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
64,62,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1590,781,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
2106,41,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1333,54,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1195,678,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
