term_id,tf,df,idf,tf_idf,updated_at
118,2.0,2,1.5108256237659907,3.0216512475319814,2025-11-30T20:56:51Z
119,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
120,5.0,2,1.5108256237659907,7.554128118829953,2025-11-30T20:56:51Z
121,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
122,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
123,3.0,2,1.5108256237659907,4.532476871297972,2025-11-30T20:56:51Z
124,7.0,3,1.2231435513142097,8.562004859199469,2025-11-30T20:56:51Z
125,4.0,2,1.5108256237659907,6.043302495063963,2025-11-30T20:56:51Z
126,11.0,3,1.2231435513142097,13.454579064456308,2025-11-30T20:56:51Z
127,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
128,11.0,3,1.2231435513142097,13.454579064456308,2025-11-30T20:56:51Z
129,31.0,2,1.5108256237659907,46.835594336745714,2025-11-30T20:56:51Z
130,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
131,11.0,2,1.5108256237659907,16.619081861425897,2025-11-30T20:56:51Z
132,5.0,1,1.916290731874155,9.581453659370776,2025-11-30T20:56:51Z
133,3.0,2,1.5108256237659907,4.532476871297972,2025-11-30T20:56:51Z
134,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
135,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
136,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
137,6.0,1,1.916290731874155,11.49774439124493,2025-11-30T20:56:51Z
138,8.0,1,1.916290731874155,15.33032585499324,2025-11-30T20:56:51Z
139,2.0,2,1.5108256237659907,3.0216512475319814,2025-11-30T20:56:51Z
140,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
141,6.0,3,1.2231435513142097,7.338861307885258,2025-11-30T20:56:51Z
142,2.0,2,1.5108256237659907,3.0216512475319814,2025-11-30T20:56:51Z
143,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
144,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
145,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
146,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
147,2.0,2,1.5108256237659907,3.0216512475319814,2025-11-30T20:56:51Z
148,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
149,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
150,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
151,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
152,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
153,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
154,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
155,27.0,3,1.2231435513142097,33.02487588548366,2025-11-30T20:56:51Z
156,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
157,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
158,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
159,5.0,2,1.5108256237659907,7.554128118829953,2025-11-30T20:56:51Z
160,2.0,1,1.916290731874155,3.83258146374831,2025-11-30T20:56:51Z
161,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
162,3.0,2,1.5108256237659907,4.532476871297972,2025-11-30T20:56:51Z
163,2.0,1,1.916290731874155,3.83258146374831,2025-11-30T20:56:51Z
164,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
165,18.0,3,1.2231435513142097,22.016583923655773,2025-11-30T20:56:51Z
166,5.0,3,1.2231435513142097,6.1157177565710485,2025-11-30T20:56:51Z
167,3.0,1,1.916290731874155,5.748872195622465,2025-11-30T20:56:51Z
168,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
169,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
170,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
171,2.0,1,1.916290731874155,3.83258146374831,2025-11-30T20:56:51Z
172,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
173,3.0,1,1.916290731874155,5.748872195622465,2025-11-30T20:56:51Z
174,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
175,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
176,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
177,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
178,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
179,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
180,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
181,5.0,2,1.5108256237659907,7.554128118829953,2025-11-30T20:56:51Z
182,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
183,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
184,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
185,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
186,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
187,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
188,2.0,2,1.5108256237659907,3.0216512475319814,2025-11-30T20:56:51Z
189,5.0,2,1.5108256237659907,7.554128118829953,2025-11-30T20:56:51Z
190,3.0,1,1.916290731874155,5.748872195622465,2025-11-30T20:56:51Z
191,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
192,2.0,1,1.916290731874155,3.83258146374831,2025-11-30T20:56:51Z
193,2.0,1,1.916290731874155,3.83258146374831,2025-11-30T20:56:51Z
194,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
195,3.0,2,1.5108256237659907,4.532476871297972,2025-11-30T20:56:51Z
196,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
197,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
198,8.0,2,1.5108256237659907,12.086604990127926,2025-11-30T20:56:51Z
199,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
200,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
201,9.0,2,1.5108256237659907,13.597430613893916,2025-11-30T20:56:51Z
202,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
203,2.0,1,1.916290731874155,3.83258146374831,2025-11-30T20:56:51Z
204,12.0,2,1.5108256237659907,18.12990748519189,2025-11-30T20:56:51Z
205,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
206,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
207,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
208,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
209,2.0,1,1.916290731874155,3.83258146374831,2025-11-30T20:56:51Z
210,2.0,1,1.916290731874155,3.83258146374831,2025-11-30T20:56:51Z
211,4.0,1,1.916290731874155,7.66516292749662,2025-11-30T20:56:51Z
212,4.0,1,1.916290731874155,7.66516292749662,2025-11-30T20:56:51Z
213,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
214,16.0,1,1.916290731874155,30.66065170998648,2025-11-30T20:56:51Z
215,20.0,2,1.5108256237659907,30.216512475319814,2025-11-30T20:56:51Z
216,7.0,2,1.5108256237659907,10.575779366361935,2025-11-30T20:56:51Z
217,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
218,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
219,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
220,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
221,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
222,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
223,8.0,2,1.5108256237659907,12.086604990127926,2025-11-30T20:56:51Z
224,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
225,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
226,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
227,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
228,2.0,2,1.5108256237659907,3.0216512475319814,2025-11-30T20:56:51Z
229,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
230,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
231,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
232,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
233,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
234,9.0,2,1.5108256237659907,13.597430613893916,2025-11-30T20:56:51Z
235,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
236,9.0,2,1.5108256237659907,13.597430613893916,2025-11-30T20:56:51Z
237,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
238,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
239,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
240,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
241,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
242,5.0,1,1.916290731874155,9.581453659370776,2025-11-30T20:56:51Z
243,3.0,1,1.916290731874155,5.748872195622465,2025-11-30T20:56:51Z
244,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
245,2.0,1,1.916290731874155,3.83258146374831,2025-11-30T20:56:51Z
246,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
247,17.0,2,1.5108256237659907,25.684035604021844,2025-11-30T20:56:51Z
248,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
249,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
250,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
251,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
252,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
253,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
254,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
255,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
256,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
