doc_id,chunk_id,rowid_src,status,processed_at,error_msg
doc_d9be,doc_d9be_chunk_0003,103,done,2026-02-03T19:55:55,
doc_d9be,doc_d9be_chunk_0004,104,done,2026-02-03T19:56:05,
doc_d9be,doc_d9be_chunk_0005,105,done,2026-02-03T19:56:14,
doc_d9be,doc_d9be_chunk_0006,106,done,2026-02-03T19:56:14,
doc_d9be,doc_d9be_chunk_0007,107,done,2026-02-03T19:56:14,
doc_d9be,doc_d9be_chunk_0008,108,done,2026-02-03T19:56:24,
doc_d9be,doc_d9be_chunk_0009,109,done,2026-02-03T19:56:24,
doc_d9be,doc_d9be_chunk_0010,110,done,2026-02-03T19:56:28,
doc_d9be,doc_d9be_chunk_0011,111,done,2026-02-03T19:56:34,
doc_d9be,doc_d9be_chunk_0012,112,done,2026-02-03T19:56:43,
doc_d9be,doc_d9be_chunk_0013,113,done,2026-02-03T19:56:43,
doc_d9be,doc_d9be_chunk_0014,114,done,2026-02-03T19:56:43,
doc_d9be,doc_d9be_chunk_0015,115,done,2026-02-03T19:56:43,
doc_d9be,doc_d9be_chunk_0016,116,done,2026-02-03T19:56:43,
