term_id,doc_id,sent_idx,token_start,token_end,cleaned_version
330,doc_01ac,67,9,11,1
307,doc_01ac,67,13,13,1
248,doc_01ac,67,15,15,1
196,doc_01ac,68,0,1,1
331,doc_01ac,69,0,1,1
332,doc_01ac,70,6,6,1
27,doc_01ac,71,0,0,1
268,doc_01ac,71,12,13,1
250,doc_01ac,72,0,1,1
141,doc_01ac,72,3,5,1
288,doc_01ac,72,7,8,1
152,doc_01ac,72,10,10,1
288,doc_01ac,73,0,1,1
27,doc_01ac,73,3,3,1
333,doc_01ac,73,5,7,1
17,doc_01ac,73,9,9,1
334,doc_01ac,74,0,1,1
250,doc_01ac,76,0,1,1
335,doc_01ac,76,3,4,1
288,doc_01ac,76,6,7,1
27,doc_01ac,77,13,13,1
17,doc_01ac,77,15,15,1
336,doc_01ac,77,18,20,1
141,doc_01ac,78,0,2,1
27,doc_01ac,79,0,0,1
337,doc_01ac,79,2,3,1
338,doc_01ac,79,5,6,1
339,doc_01ac,80,1,3,1
250,doc_01ac,80,5,6,1
340,doc_01ac,80,18,18,1
341,doc_01ac,80,27,28,1
342,doc_01ac,80,30,31,1
327,doc_01ac,82,1,1,1
325,doc_01ac,82,4,4,1
248,doc_01ac,82,6,6,1
328,doc_01ac,82,8,10,1
343,doc_01ac,83,14,16,1
175,doc_01ac,84,0,0,1
196,doc_01ac,85,0,1,1
344,doc_01ac,86,0,1,1
152,doc_01ac,87,1,1,1
345,doc_01ac,87,14,16,1
175,doc_01ac,88,0,0,1
346,doc_01ac,88,8,10,1
347,doc_01ac,88,13,15,1
152,doc_01ac,88,17,17,1
141,doc_01ac,89,0,2,1
348,doc_01ac,89,4,6,1
269,doc_01ac,90,0,1,1
152,doc_01ac,90,3,3,1
349,doc_01ac,90,13,13,1
248,doc_01ac,91,0,0,1
27,doc_01ac,91,17,17,1
348,doc_01ac,91,19,21,1
350,doc_01ac,91,24,25,1
302,doc_01ac,91,27,27,1
17,doc_026b,1,0,0,1
256,doc_026b,1,3,4,1
316,doc_026b,1,7,8,1
248,doc_026b,1,12,12,1
17,doc_026b,2,0,0,1
351,doc_026b,2,2,3,1
352,doc_026b,2,5,6,1
353,doc_026b,2,8,10,1
253,doc_026b,3,8,8,1
11,doc_026b,4,0,0,1
269,doc_026b,4,17,18,1
141,doc_026b,5,2,4,1
354,doc_026b,5,12,14,1
141,doc_026b,6,1,3,1
141,doc_026b,7,2,4,1
354,doc_026b,7,12,14,1
327,doc_026b,8,1,1,1
355,doc_026b,8,3,5,1
356,doc_026b,8,18,19,1
268,doc_026b,8,21,22,1
357,doc_026b,8,24,26,1
146,doc_026b,8,60,61,1
358,doc_026b,9,6,7,1
273,doc_026b,10,6,7,1
274,doc_026b,10,11,12,1
275,doc_026b,10,14,15,1
359,doc_026b,12,0,2,1
360,doc_026b,12,5,7,1
361,doc_026b,12,9,11,1
268,doc_026b,12,14,15,1
362,doc_026b,12,23,24,1
269,doc_026b,13,0,1,1
363,doc_026b,13,3,5,1
364,doc_026b,14,0,1,1
365,doc_026b,16,2,3,1
366,doc_026b,17,0,0,1
268,doc_026b,17,2,3,1
367,doc_026b,17,5,6,1
368,doc_026b,18,13,13,1
369,doc_026b,19,5,5,1
370,doc_026b,20,10,12,1
292,doc_026b,20,14,14,1
371,doc_026b,20,16,16,1
372,doc_026b,21,10,12,1
373,doc_026b,21,15,16,1
369,doc_026b,22,0,0,1
369,doc_026b,23,0,0,1
374,doc_026b,24,11,13,1
